state,x,y
Alabama,125,-92
Alaska,-204,-170
Arizona,-213,-40
Arkansas,42,-53
California,-315,13
Colorado,-122,20
Connecticut,297,96
Delaware,275,42
Florida,210,-145
Georgia,172,-82
Hawaii,-317,-143
Idaho,-222,112
Illinois,84,32
Indiana,120,39
Iowa,38,65
Kansas,-37,5
Kentucky,129,-10
Louisiana,50,-130
Maine,308,154
Maryland,288,27
Massachusetts,312,112
Michigan,130,101
Minnesota,6,135
Mississippi,84,-78
Missouri,35,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-43
New York,236,100
North Carolina,239,-22
North Dakota,-60,158
Ohio,176,52
Oklahoma,-18,-41
Oregon,-278,138
Pennsylvania,208,62
Rhode Island,318,80
South Carolina,205,-61
South Dakota,-64,109
Tennessee,115,-40
Texas,-38,-106
Utah,-189,34
Vermont,272,138
Virginia,230,5
Washington,-282,183
West Virginia,195,20
Wisconsin,62,113
Wyoming,-140,90
